symbol,side,value,price,quantity,timestamp,_exchange
BTC,LONG,31047.95,72037.0,0.431,1773623054444,bybit
BTC,LONG,12311.83,71999.0,0.171,1773623055461,bybit
BTC,LONG,6480.64,72007.1,0.09,1773623054944,bybit
BTC,LONG,6362.78,72058.7,8.83,1773623056814,okx
BTC,LONG,1296.73,72040.8,0.018,1773623054944,bybit
BTC,LONG,591.38,72120.0,0.82,1773623048472,okx
BTC,LONG,499.19,72345.9,0.69,1773623066094,okx
BTC,LONG,432.21,72035.5,0.006,1773623054444,bybit
BTC,LONG,144.1,72050.6,0.002,1773623053944,bybit
BTC,LONG,144.0,71998.5,0.002,1773623054944,bybit
BTC,LONG,86.88,72403.6,0.12,1773623053200,okx
BTC,LONG,14.42,72081.5,0.02,1773623054156,okx
