symbol,side,value,price,quantity,timestamp,_exchange
BTC,LONG,284390.8,71097.7,4.0,1773600466944,bybit
BTC,LONG,9455.32,71092.6,0.133,1773600465944,bybit
BTC,LONG,9386.63,71110.8,0.132,1773600453944,bybit
BTC,LONG,3340.28,71069.8,0.047,1773600466444,bybit
BTC,LONG,2491.4,71182.9,0.035,1773600422944,bybit
BTC,LONG,1214.59,71446.2,1.7,1773600465757,okx
BTC,LONG,1211.4,71258.7,1.7,1773600421151,okx
BTC,LONG,497.49,71070.5,0.007,1773600465944,bybit
BTC,LONG,321.8,71511.1,0.45,1773600435647,okx
BTC,LONG,257.3,71472.1,0.36,1773600453801,okx
BTC,LONG,150.19,71519.5,0.21,1773600432748,okx
BTC,LONG,142.16,71078.0,0.002,1773600466444,bybit
BTC,LONG,71.22,71218.2,0.001,1773600420948,bybit
BTC,LONG,71.12,71121.6,0.001,1773600454945,bybit
BTC,LONG,42.76,71269.2,0.06,1773600420757,okx
