exchange,symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl
binance,BTC,SHORT,15543.25,72294.2,0.215,1773611653671,binance,,,,,
,BTC,SHORT,10803.32,72022.1,15.0,1773611652632,okx,,,,,
,,short,,72191.0,,2026-03-15T21:45:38.944000,hyperliquid,BTC,0.13186,9519.11,0x860ae9cc...,-108.65
binance,BTC,SHORT,6003.27,72328.5,0.083,1773611658792,binance,,,,,
,,short,,72191.0,,2026-03-15T21:45:38.944000,hyperliquid,BTC,0.07333,5293.77,0xc5957225...,-61.81
binance,BTC,SHORT,4627.35,72302.3,0.064,1773611652493,binance,,,,,
binance,BTC,LONG,3810.9,71903.7,0.053,1773611649272,binance,,,,,
,,short,,72191.0,,2026-03-15T21:45:38.944000,hyperliquid,BTC,0.02803,2023.51,0x1d572223...,-23.71
,BTC,SHORT,2016.7,72024.9,2.8,1773611653691,okx,,,,,
,,short,,72191.0,,2026-03-15T21:45:38.944000,hyperliquid,BTC,0.01404,1013.56,0x34b6c279...,-11.08
binance,BTC,SHORT,939.93,72302.0,0.013,1773611657574,binance,,,,,
binance,BTC,SHORT,723.31,72330.77,0.01,1773611660528,binance,,,,,
binance,BTC,LONG,646.34,71815.6,0.009,1773611655428,binance,,,,,
,,short,,72191.0,,2026-03-15T21:45:38.944000,hyperliquid,BTC,0.00196,141.49,0x08827cc4...,-1.61
,,short,,72191.0,,2026-03-15T21:45:38.944000,hyperliquid,BTC,0.00128,92.4,0xae73e633...,-1.05
,,short,,72191.0,,2026-03-15T21:45:38.944000,hyperliquid,BTC,0.00128,92.4,0x4f3b0a4e...,-1.14
,,short,,72191.0,,2026-03-15T21:45:38.944000,hyperliquid,BTC,0.00056,40.43,0x827a4e1a...,-0.48
