symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,exchange
BTC,LONG,346560.35,73448.7,471.84,1773646740023,okx,,,,
BTC,LONG,49460.490000000005,73274.8,0.675,1773646710075,binance,LIMIT,73555.0,FILLED,
BTC,LONG,49460.49,73274.8,0.675,1773646710075,binance,,,,binance
BTC,LONG,33509.09,73227.9,45.76,1773646730524,okx,,,,
BTC,LONG,23792.31,73252.2,32.48,1773646711520,okx,,,,
BTC,LONG,18576.76752,73136.88,0.254,1773646792559,binance,LIMIT,73449.9,FILLED,
BTC,LONG,17996.87,73158.0,0.246,1773646737457,bybit,,,,
BTC,LONG,6293.093,73175.5,0.086,1773646740192,binance,LIMIT,73457.1,FILLED,
BTC,LONG,6293.09,73175.5,0.086,1773646740192,binance,,,,binance
BTC,LONG,5555.02,73092.4,0.076,1773646739443,bybit,,,,
BTC,LONG,4264.8,73152.6,5.83,1773646766716,okx,,,,
BTC,LONG,3654.02,73080.3,0.05,1773646767944,bybit,,,,
BTC,LONG,2853.4622999999997,73165.7,0.039,1773646741725,binance,LIMIT,73459.9,FILLED,
BTC,LONG,2853.46,73165.7,0.039,1773646741725,binance,,,,binance
BTC,LONG,2484.78,73081.8,0.034,1773646768444,bybit,,,,
BTC,LONG,2196.14,73204.6,0.03,1773646739184,binance,,,,binance
BTC,LONG,2196.138,73204.6,0.03,1773646739184,binance,LIMIT,73452.5,FILLED,
BTC,LONG,1662.58,73241.4,2.27,1773646728531,okx,,,,
BTC,LONG,1534.93,73091.7,0.021,1773646739944,bybit,,,,
BTC,LONG,1465.392,73269.6,0.02,1773646712096,binance,LIMIT,73548.7,FILLED,
BTC,LONG,1465.39,73269.6,0.02,1773646712096,binance,,,,binance
BTC,LONG,1465.07,73253.3,0.02,1773646725419,binance,,,,binance
BTC,LONG,1465.066,73253.3,0.02,1773646725419,binance,LIMIT,73538.9,FILLED,
BTC,LONG,1463.084,73154.2,0.02,1773646768867,binance,LIMIT,73437.8,FILLED,
BTC,LONG,1463.08,73154.2,0.02,1773646768867,binance,,,,binance
BTC,LONG,1462.73,73136.6,2.0,1773646769001,okx,,,,
BTC,LONG,1244.88,73228.0,0.017,1773646738057,binance,,,,binance
BTC,LONG,1244.876,73228.0,0.017,1773646738057,binance,LIMIT,73474.0,FILLED,
BTC,LONG,1177.45,73133.5,1.61,1773646770249,okx,,,,
BTC,LONG,1171.83,73239.2,0.016,1773646733865,binance,,,,binance
BTC,LONG,1171.8272,73239.2,0.016,1773646733865,binance,LIMIT,73526.0,FILLED,
BTC,LONG,1170.4,73149.7,0.016,1773646737457,bybit,,,,
BTC,LONG,1110.68,73554.9,1.51,1773646710378,okx,,,,
BTC,LONG,981.57,73251.5,1.34,1773646712114,okx,,,,
BTC,LONG,950.48,73113.6,0.013,1773646738443,bybit,,,,
BTC,LONG,944.89,73247.0,1.29,1773646713691,okx,,,,
BTC,LONG,878.82,73234.7,0.012,1773646736475,binance,,,,binance
BTC,LONG,878.8163999999999,73234.7,0.012,1773646736475,binance,LIMIT,73512.5,FILLED,
BTC,LONG,791.36,73273.9,1.08,1773646709594,okx,,,,
BTC,LONG,731.1,73109.7,0.01,1773646737944,bybit,,,,
BTC,LONG,585.92,73239.8,0.008,1773646731340,binance,,,,binance
BTC,LONG,585.9184,73239.8,0.008,1773646731340,binance,LIMIT,73528.2,FILLED,
BTC,LONG,512.91,73272.4,0.007,1773646713096,binance,,,,binance
BTC,LONG,512.9068,73272.4,0.007,1773646713096,binance,LIMIT,73541.9,FILLED,
BTC,LONG,512.19,73170.7,0.007,1773646729943,bybit,,,,
BTC,LONG,512.0934,73156.2,0.007,1773646767098,binance,LIMIT,73435.3,FILLED,
BTC,LONG,512.09,73156.2,0.007,1773646767098,binance,,,,binance
BTC,LONG,446.16,73140.8,0.61,1773646768149,okx,,,,
BTC,LONG,438.77,73128.9,0.006,1773646738443,bybit,,,,
BTC,LONG,257.35,73527.2,0.35,1773646729249,okx,,,,
BTC,LONG,241.44,73163.6,0.33,1773646739728,okx,,,,
BTC,LONG,220.54,73513.2,0.3,1773646737373,okx,,,,
BTC,LONG,219.25,73081.8,0.003,1773646768444,bybit,,,,
BTC,LONG,219.19,73063.5,0.003,1773646769944,bybit,,,,
BTC,LONG,205.75,73482.8,0.28,1773646738045,okx,,,,
BTC,LONG,146.5112,73255.6,0.002,1773646716988,binance,LIMIT,73539.7,FILLED,
BTC,LONG,146.51,73255.6,0.002,1773646716988,binance,,,,binance
BTC,LONG,146.50420000000003,73252.1,0.002,1773646726780,binance,LIMIT,73538.9,FILLED,
BTC,LONG,146.5,73252.1,0.002,1773646726780,binance,,,,binance
BTC,LONG,146.36,73181.1,0.002,1773646712944,bybit,,,,
BTC,LONG,146.25,73122.9,0.002,1773646738443,bybit,,,,
BTC,LONG,146.16,73082.0,0.002,1773646768444,bybit,,,,
BTC,LONG,146.12,73062.0,0.002,1773646769443,bybit,,,,
BTC,LONG,7.31,73148.4,0.01,1773646767667,okx,,,,
