symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,exchange
BTC,LONG,133049.32,70997.5,1.874,1773600747945,bybit,,,,
BTC,LONG,2757.73,71075.4,3.88,1773600710713,okx,,,,
BTC,LONG,2627.23,71006.2,0.037,1773600711971,bybit,,,,
BTC,LONG,2141.14,71371.2,3.0,1773600709000,okx,,,,
BTC,LONG,1065.48,71031.8,0.015,1773600708944,bybit,,,,
BTC,LONG,923.15,71011.7,0.013,1773600709944,bybit,,,,
BTC,LONG,923.14,71010.6,0.013,1773600708944,bybit,,,,
BTC,LONG,906.2,71354.5,1.27,1773600748326,okx,,,,
BTC,LONG,711.062,71106.2,0.01,1773600510778,binance,LIMIT,71411.1,FILLED,
BTC,LONG,711.06,71106.2,0.01,1773600510778,binance,,,,binance
BTC,LONG,497.12,71017.7,0.007,1773600709448,bybit,,,,
BTC,LONG,355.0,70999.6,0.005,1773600748444,bybit,,,,
BTC,LONG,213.03,71010.8,0.003,1773600709448,bybit,,,,
BTC,LONG,28.44,71098.0,0.04,1773600708542,okx,,,,
