symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address
BTC,LONG,58049.82,71331.8,81.38,1773600914262,okx,,,,,,,,
BTC,LONG,35528.1,71056.2,50.0,1773600909893,okx,,,,,,,,
BTC,LONG,8303.56,70970.6,0.117,1773600915973,bybit,,,,,,,,
BTC,LONG,5965.730400000001,71020.6,0.084,1773600918358,binance,LIMIT,71298.0,FILLED,,,,,
BTC,LONG,5960.48,70958.1,0.084,1773600915973,bybit,,,,,,,,
BTC,LONG,5755.6656,71057.6,0.081,1773600910279,binance,LIMIT,71325.7,FILLED,,,,,
BTC,LONG,5395.07,70987.7,0.076,1773600910947,bybit,,,,,,,,
BTC,LONG,4971.071000000001,71015.3,0.07,1773600919543,binance,LIMIT,71277.12,FILLED,,,,,
BTC,LONG,4686.86,71013.0,6.6,1773600920347,okx,,,,,,,,
BTC,LONG,3573.85,71334.3,5.01,1773600911088,okx,,,,,,,,
BTC,LONG,2625.02,70946.6,0.037,1773600917945,bybit,,,,,,,,
BTC,LONG,1916.62,70985.9,0.027,1773600909945,bybit,,,,,,,,
BTC,LONG,1490.4,70971.2,0.021,1773600915973,bybit,,,,,,,,
BTC,LONG,1098.42,71325.8,1.54,1773600915203,okx,,,,,,,,
BTC,LONG,851.73,70977.6,0.012,1773600910948,bybit,,,,,,,,
BTC,LONG,781.3046999999999,71027.7,0.011,1773600917356,binance,LIMIT,71304.8,FILLED,,,,,
BTC,LONG,780.34,70940.4,0.011,1773600920445,bybit,,,,,,,,
BTC,LONG,638.48,70941.7,0.009,1773600917945,bybit,,,,,,,,
BTC,LONG,567.81,70975.7,0.008,1773600910947,bybit,,,,,,,,
BTC,LONG,496.83,70975.4,0.007,1773600910947,bybit,,,,,,,,
BTC,LONG,327.99,71301.9,0.46,1773600916383,okx,,,,,,,,
BTC,LONG,283.97159999999997,70992.9,0.004,1773600925788,binance,LIMIT,71279.9,FILLED,,,,,
BTC,LONG,283.96,70990.2,0.004,1773600910948,bybit,,,,,,,,
