symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,exchange
BTC,LONG,14074.33,71443.3,0.197,1773612691444,bybit,,,,
BTC,LONG,3860.48,71490.3,0.054,1773612671944,bybit,,,,
BTC,LONG,2846.47,71519.3,3.98,1773612685713,okx,,,,
BTC,LONG,1580.42,71837.4,2.2,1773612671560,okx,,,,
BTC,LONG,1358.68,71509.7,0.019,1773612671944,bybit,,,,
BTC,LONG,1286.14,71452.1,0.018,1773612685444,bybit,,,,
BTC,LONG,1285.88,71437.7,0.018,1773612693444,bybit,,,,
BTC,LONG,857.25,71437.5,0.012,1773612692944,bybit,,,,
BTC,LONG,572.07,71509.1,0.008,1773612671444,bybit,,,,
BTC,LONG,501.7138,71673.4,0.007,1773612493499,binance,LIMIT,71932.5,FILLED,
BTC,LONG,501.71,71673.4,0.007,1773612493499,binance,,,,binance
BTC,LONG,430.08360000000005,71680.6,0.006,1773612486270,binance,LIMIT,71974.3,FILLED,
BTC,LONG,430.08,71680.6,0.006,1773612486270,binance,,,,binance
BTC,LONG,357.26,71451.3,0.005,1773612685444,bybit,,,,
BTC,LONG,142.88,71441.2,0.002,1773612691444,bybit,,,,
BTC,LONG,136.41,71796.8,0.19,1773612707731,okx,,,,okx
BTC,LONG,71.53,71531.8,0.001,1773612665452,bybit,,,,
